ID;LOCAL;NUMERO;BAIRRO;ANO;DATA;HORA;CIDADE;ENDEREÇO;TIPO DE ROUBO;DIA DA SEMANA;LAT_LONG;;;;;;;;;;;;;;
92;CORONEL ATALIBIO TAURINO DE REZENDE;1402;CAMPINA;2024;26/02/2024;05:00:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 1402, CAMPINA, SAO LEOPOLDO;COMERCIO;segunda-feira;-29.744309283428883, -51.15211893159409;;;;;;;;;;;;;;
93;CORONEL ATALIBIO TAURINO DE REZENDE;6465;CAMPINA;2024;26/02/2024;08:00:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 6465, CAMPINA, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.744051657211138, -51.15180493913795;;;;;;;;;;;;;;
94;MAUA;290;SANTOS DUMONT;2024;26/02/2024;20:00:00;SAO LEOPOLDO;MAUA, 290, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.748039,-51.144791;;;;;;;;;;;;;;
95;SENADOR SALGADO FILHO;4603;SANTOS DUMONT;2024;26/02/2024;02:00:00;SAO LEOPOLDO;SENADOR SALGADO FILHO, 4603, SANTOS DUMONT, SAO LEOPOLDO;VEICULO;segunda-feira;-29.717326689571234, -51.14770465107873;;;;;;;;;;;;;;
96;CAXIAS DO SUL;194;RIO DOS SINOS;2024;28/02/2024;20:30:00;SAO LEOPOLDO;CAXIAS DO SUL, 194, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.757627,-51.149126;;;;;;;;;;;;;;
97;MAUA;266;RIO DOS SINOS;2024;28/02/2024;21:00:00;SAO LEOPOLDO;MAUA, 266, RIO DOS SINOS, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.748717,-51.144724;;;;;;;;;;;;;;
98;DO QUILOMBO;0;FEITORIA;2024;28/02/2024;19:00:00;SAO LEOPOLDO;DO QUILOMBO, 0, FEITORIA, SAO LEOPOLDO;VEICULO;quarta-feira;-29.77061330075188, -51.082972416679915;;;;;;;;;;;;;;
99;MAUA;0;SANTOS DUMONT;2024;29/02/2024;22:30:00;SAO LEOPOLDO;MAUA, 0, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.744475,-51.144274;;;;;;;;;;;;;;
100;JOSE BONIFACIO;258;CENTRO;2024;29/02/2024;17:00:00;SAO LEOPOLDO;JOSE BONIFACIO, 258, CENTRO, SAO LEOPOLDO;VEICULO;quinta-feira;-29.761579283388595, -51.14423656371875;;;;;;;;;;;;;;
101;SAO BORJA;712;RIO BRANCO;2024;01/03/2024;13:30:00;SAO LEOPOLDO;SAO BORJA, 712, RIO BRANCO, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.774606,-51.130285;;;;;;;;;;;;;;
